time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.13834126e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.02478310e-06,1.14634614e-05,5.03229018e+02,1.60193226e+03
2.00000000e-10,5.10376419e-06,1.17042147e-05,1.10065068e+03,3.21656149e+03
3.00000000e-10,5.25181061e-06,1.21078121e-05,1.90592460e+03,4.86025407e+03
4.00000000e-10,5.49626759e-06,1.26746729e-05,3.05478602e+03,6.46215445e+03
5.00000000e-10,5.88087319e-06,1.33961464e-05,4.73885598e+03,7.92760993e+03
6.00000000e-10,6.46840293e-06,1.42477481e-05,7.17302646e+03,9.02600751e+03
7.00000000e-10,7.34972952e-06,1.51760815e-05,1.06666681e+04,9.36228597e+03
8.00000000e-10,8.65417453e-06,1.60688845e-05,1.57846695e+04,8.13017162e+03
9.00000000e-10,1.06203253e-05,1.67005283e-05,2.45090858e+04,3.95401329e+03
1.00000000e-09,1.38188373e-05,1.68612219e-05,4.06858271e+04,-3.10107472e+02
1.10000000e-09,1.89865511e-05,1.66444835e-05,6.47635711e+04,-4.94727046e+03
1.20000000e-09,2.75885518e-05,1.59243405e-05,1.09187852e+05,-7.50751223e+03
1.30000000e-09,4.00904696e-05,1.52769048e-05,1.37390931e+05,-6.17513650e+03
1.40000000e-09,5.49820368e-05,1.46598205e-05,1.60752799e+05,-6.09599273e+03
1.50000000e-09,7.30329936e-05,1.40690959e-05,1.98468478e+05,-6.53427152e+03
1.60000000e-09,9.40328397e-05,1.34245390e-05,2.22802005e+05,-5.42024570e+03
1.70000000e-09,1.18251927e-04,1.28338231e-05,2.55868884e+05,-6.67314956e+03
1.80000000e-09,1.45442345e-04,1.22567701e-05,2.88633090e+05,-6.71594452e+03
1.90000000e-09,1.75760639e-04,1.16789708e-05,3.20244208e+05,-6.55351310e+03
2.00000000e-09,2.09259637e-04,1.10987752e-05,3.50876223e+05,-6.44510882e+03
2.10000000e-09,2.45945606e-04,1.05344483e-05,3.82337970e+05,-4.72653095e+03
