time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.39998144e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.08206234e-06,1.40314754e-05,1.65195164e+03,6.33435011e+02
2.00000000e-10,5.33473696e-06,1.41265192e-05,3.43474570e+03,1.26694638e+03
3.00000000e-10,5.77815056e-06,1.42844345e-05,5.49264468e+03,1.88657105e+03
4.00000000e-10,6.44905687e-06,1.45021741e-05,8.04326349e+03,2.45835242e+03
5.00000000e-10,7.41843580e-06,1.47724137e-05,1.15615668e+04,2.91531974e+03
6.00000000e-10,8.82625853e-06,1.50746643e-05,1.70600081e+04,3.04258839e+03
7.00000000e-10,1.09672702e-05,1.53545880e-05,2.67473905e+04,2.40830896e+03
8.00000000e-10,1.44154127e-05,1.55448605e-05,4.34575970e+04,1.41966780e+03
9.00000000e-10,1.99683773e-05,1.56135167e-05,7.04852423e+04,-4.29373106e+02
1.00000000e-09,2.92380319e-05,1.55166635e-05,1.15134796e+05,-6.80276080e+02
1.10000000e-09,4.21259379e-05,1.55006218e-05,1.40698055e+05,-5.78315940e+01
1.20000000e-09,5.73603222e-05,1.54902721e-05,1.65262881e+05,-4.55924459e+02
1.30000000e-09,7.59464786e-05,1.54385323e-05,2.01754233e+05,-2.00095058e+02
1.40000000e-09,9.73228790e-05,1.54092606e-05,2.29353050e+05,-6.69413471e+02
1.50000000e-09,1.21989022e-04,1.53712391e-05,2.59143694e+05,-2.73625512e+02
1.60000000e-09,1.49648801e-04,1.53292304e-05,2.91859483e+05,-3.03702545e+02
1.70000000e-09,1.80419199e-04,1.52884004e-05,3.23412159e+05,-3.29304301e+02
1.80000000e-09,2.14357752e-04,1.52475197e-05,3.54212734e+05,-3.73402697e+02
1.90000000e-09,2.51542839e-04,1.52032707e-05,3.89574467e+05,-4.88060593e+02
2.00000000e-09,2.92098081e-04,1.51604104e-05,4.22005946e+05,-4.76937008e+02
2.06500000e-09,3.20147056e-04,1.51349308e-05,4.35138586e+05,-3.22402771e+02
