time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.55378031e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.08470665e-06,1.55207757e-05,1.70523997e+03,-3.40723870e+02
2.00000000e-10,5.34555187e-06,1.54696256e-05,3.54600763e+03,-6.82172817e+02
3.00000000e-10,5.80333090e-06,1.53845360e-05,5.67032127e+03,-1.01722512e+03
4.00000000e-10,6.49601564e-06,1.52670130e-05,8.30639337e+03,-1.32834585e+03
5.00000000e-10,7.49723335e-06,1.51208519e-05,1.19466121e+04,-1.57809886e+03
6.00000000e-10,8.95286972e-06,1.49572818e-05,1.76561264e+04,-1.64437693e+03
7.00000000e-10,1.11742237e-05,1.48065140e-05,2.77999938e+04,-1.29451585e+03
8.00000000e-10,1.47546365e-05,1.47034535e-05,4.50575904e+04,-7.74770895e+02
9.00000000e-10,2.05248223e-05,1.46692261e-05,7.35714146e+04,2.86863397e+02
1.00000000e-09,3.01369132e-05,1.47167484e-05,1.17840665e+05,2.17718971e+02
1.10000000e-09,4.32150804e-05,1.47169559e-05,1.42456444e+05,-3.14983320e+01
1.20000000e-09,5.86418930e-05,1.47185064e-05,1.68250811e+05,2.87280369e+02
1.30000000e-09,7.75023942e-05,1.47401239e-05,2.03493679e+05,4.56683756e+01
1.40000000e-09,9.90973636e-05,1.47524532e-05,2.33015807e+05,3.34611907e+02
1.50000000e-09,1.23983823e-04,1.47657659e-05,2.60991183e+05,1.03938491e+02
1.60000000e-09,1.51893389e-04,1.47836383e-05,2.93583086e+05,1.02452317e+02
1.70000000e-09,1.82905006e-04,1.48008503e-05,3.25128852e+05,1.17892724e+02
1.80000000e-09,2.17080813e-04,1.48183220e-05,3.56495849e+05,1.91512237e+02
1.90000000e-09,2.54539823e-04,1.48382849e-05,3.92489152e+05,1.83180598e+02
2.00000000e-09,2.95344791e-04,1.48570020e-05,4.25542028e+05,2.35098745e+02
2.05800000e-09,3.20434660e-04,1.48649534e-05,4.35133864e+05,8.27648580e+01
