time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.86599385e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.02361055e-06,1.85796383e-05,4.79724812e+02,-1.60683066e+03
2.00000000e-10,5.09903725e-06,1.83382090e-05,1.05282666e+03,-3.22478732e+03
3.00000000e-10,5.24099308e-06,1.79337303e-05,1.83169204e+03,-4.87068395e+03
4.00000000e-10,5.47660057e-06,1.73654075e-05,2.95073184e+03,-6.48041992e+03
5.00000000e-10,5.84899804e-06,1.66417201e-05,4.59884996e+03,-7.95583120e+03
6.00000000e-10,6.42004742e-06,1.57866327e-05,6.97966203e+03,-9.06864862e+03
7.00000000e-10,7.27849568e-06,1.48525934e-05,1.03927970e+04,-9.43792185e+03
8.00000000e-10,8.54894233e-06,1.39488738e-05,1.53551870e+04,-8.28457821e+03
9.00000000e-10,1.04553993e-05,1.32953388e-05,2.36775380e+04,-4.19784288e+03
1.00000000e-09,1.35435900e-05,1.31209640e-05,3.93557131e+04,2.82045094e+02
1.10000000e-09,1.85486111e-05,1.33264121e-05,6.25292642e+04,4.59691930e+03
1.20000000e-09,2.68468870e-05,1.40449081e-05,1.06076715e+05,7.85086544e+03
1.30000000e-09,3.91480545e-05,1.47239745e-05,1.35802119e+05,6.40888056e+03
1.40000000e-09,5.38785038e-05,1.53648619e-05,1.58928034e+05,6.36682517e+03
1.50000000e-09,7.16675876e-05,1.59699262e-05,1.96830237e+05,6.71130940e+03
1.60000000e-09,9.25015807e-05,1.66432313e-05,2.20304463e+05,6.10471664e+03
1.70000000e-09,1.16488341e-04,1.72445794e-05,2.54292376e+05,6.89366715e+03
1.80000000e-09,1.43451385e-04,1.78387457e-05,2.87096562e+05,6.92443995e+03
1.90000000e-09,1.73550200e-04,1.84409038e-05,3.18780932e+05,6.69654905e+03
2.00000000e-09,2.06836912e-04,1.90442978e-05,3.49367351e+05,6.65553720e+03
2.10000000e-09,2.43312486e-04,1.96470751e-05,3.78690643e+05,6.05332745e+03
