time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.97014450e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,4.99844366e-06,1.96226557e-05,-2.51474263e+01,-1.57702883e+03
2.00000000e-10,4.99736110e-06,1.93855310e-05,2.14245831e+01,-3.16939039e+03
3.00000000e-10,5.00751732e-06,1.89876676e-05,2.11693231e+02,-4.79542387e+03
4.00000000e-10,5.04777895e-06,1.84264142e-05,6.45080388e+02,-6.42263744e+03
5.00000000e-10,5.14877468e-06,1.77044664e-05,1.44533300e+03,-8.00200173e+03
6.00000000e-10,5.35296716e-06,1.68325310e-05,2.73300307e+03,-9.39538914e+03
7.00000000e-10,5.71455167e-06,1.58390747e-05,4.60510244e+03,-1.03840606e+04
8.00000000e-10,6.29387303e-06,1.47798596e-05,7.09417722e+03,-1.06489875e+04
9.00000000e-10,7.15548591e-06,1.37479190e-05,1.02479885e+04,-9.74550099e+03
1.00000000e-09,8.36920684e-06,1.28958383e-05,1.42113489e+04,-6.85479205e+03
1.10000000e-09,1.00707657e-05,1.25070640e-05,2.06976796e+04,5.52542361e+01
1.20000000e-09,1.28046296e-05,1.29066518e-05,3.53548021e+04,6.91692892e+03
1.30000000e-09,1.73428962e-05,1.37610992e-05,5.67153888e+04,1.01966273e+04
1.40000000e-09,2.47904482e-05,1.49507137e-05,9.61494221e+04,1.26381269e+04
1.50000000e-09,3.63959257e-05,1.62669494e-05,1.30695137e+05,1.38020889e+04
1.60000000e-09,5.06118854e-05,1.76463076e-05,1.53604879e+05,1.38299915e+04
1.70000000e-09,6.75704163e-05,1.87583163e-05,1.92414001e+05,1.12813407e+04
