time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.95291880e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.00235051e-06,1.94495107e-05,5.29653059e+01,-1.59509171e+03
2.00000000e-10,5.01297950e-06,1.92095269e-05,1.77568977e+02,-3.20964039e+03
3.00000000e-10,5.04274677e-06,1.88062432e-05,4.50983833e+02,-4.85954596e+03
4.00000000e-10,5.11209931e-06,1.82383088e-05,9.90721376e+02,-6.49513412e+03
5.00000000e-10,5.25396674e-06,1.75085160e-05,1.92119825e+03,-8.07726379e+03
6.00000000e-10,5.51405140e-06,1.66298587e-05,3.37921429e+03,-9.44586113e+03
7.00000000e-10,5.95050606e-06,1.56349377e-05,5.46070752e+03,-1.03510996e+04
8.00000000e-10,6.62939598e-06,1.45867905e-05,8.25166628e+03,-1.04399680e+04
9.00000000e-10,7.62631960e-06,1.35923233e-05,1.18417657e+04,-9.15140705e+03
1.00000000e-09,9.03730396e-06,1.28383065e-05,1.67197343e+04,-5.34962046e+03
1.10000000e-09,1.11277275e-05,1.26745028e-05,2.65581689e+04,2.33815572e+03
1.20000000e-09,1.46254112e-05,1.31651764e-05,4.43618202e+04,6.79440000e+03
1.30000000e-09,2.02745443e-05,1.40362150e-05,7.17939879e+04,1.10637468e+04
1.40000000e-09,2.96995507e-05,1.52111714e-05,1.16318349e+05,1.19097065e+04
1.50000000e-09,4.26605896e-05,1.64361244e-05,1.41338308e+05,1.23193090e+04
1.60000000e-09,5.79492252e-05,1.76400937e-05,1.65678901e+05,9.75213988e+03
1.70000000e-09,7.66772854e-05,1.86602750e-05,2.02351099e+05,1.22442688e+04
1.80000000e-09,9.80843458e-05,1.98414417e-05,2.30771638e+05,9.90259365e+03
