time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.71800301e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.06142115e-06,1.71182086e-05,1.23881869e+03,-1.23801062e+03
2.00000000e-10,5.25207474e-06,1.69318484e-05,2.60684529e+03,-2.49176490e+03
3.00000000e-10,5.59114856e-06,1.66204746e-05,4.22927479e+03,-3.72803783e+03
4.00000000e-10,6.11230106e-06,1.61889297e-05,6.28833468e+03,-4.88305495e+03
5.00000000e-10,6.87668075e-06,1.56487417e-05,9.16312007e+03,-5.87296162e+03
6.00000000e-10,7.98858277e-06,1.50306714e-05,1.33913637e+04,-6.36520215e+03
7.00000000e-10,9.64266108e-06,1.44155588e-05,2.03149736e+04,-5.64575472e+03
8.00000000e-10,1.22404790e-05,1.39605203e-05,3.28689857e+04,-3.34820475e+03
9.00000000e-10,1.64639241e-05,1.37342093e-05,5.28447986e+04,-1.08287849e+03
1.00000000e-09,2.33299123e-05,1.38593635e-05,8.89323768e+04,3.23093237e+03
1.10000000e-09,3.44045364e-05,1.41069734e-05,1.27521440e+05,1.27559753e+03
1.20000000e-09,4.83064439e-05,1.42298713e-05,1.50511372e+05,1.22162327e+03
1.30000000e-09,6.47694944e-05,1.43994441e-05,1.84406239e+05,2.20956035e+03
1.40000000e-09,8.47244566e-05,1.45644210e-05,2.11497739e+05,1.52721254e+03
1.50000000e-09,1.07464427e-04,1.47389031e-05,2.45992562e+05,1.67160064e+03
1.60000000e-09,1.33286761e-04,1.49073144e-05,2.74646422e+05,1.77940620e+03
1.70000000e-09,1.62283887e-04,1.50799298e-05,3.04275964e+05,1.67578051e+03
1.80000000e-09,1.94413979e-04,1.52515837e-05,3.37102468e+05,1.59437474e+03
1.90000000e-09,2.29771761e-04,1.54209623e-05,3.71056181e+05,1.76543975e+03
2.00000000e-09,2.68379118e-04,1.55935677e-05,4.01764447e+05,1.58787545e+03
2.10000000e-09,3.10378655e-04,1.57643147e-05,4.34204680e+05,2.10274875e+03
2.12300000e-09,3.20380665e-04,1.58146925e-05,4.35159793e+05,2.27451186e+03
