time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,2.97066774e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,4.99835391e-06,2.96757491e-05,-3.21064555e+01,-6.18773342e+02
2.00000000e-10,4.99390453e-06,2.95828391e-05,-5.44402207e+01,-1.24005844e+03
3.00000000e-10,4.98811576e-06,2.94275672e-05,-5.72793051e+01,-1.86645695e+03
4.00000000e-10,4.98342078e-06,2.92092839e-05,-3.09539739e+01,-2.50078049e+03
5.00000000e-10,4.98322304e-06,2.89270459e-05,3.45541654e+01,-3.14559546e+03
6.00000000e-10,4.99225523e-06,2.85802859e-05,1.57134412e+02,-3.78818530e+03
7.00000000e-10,5.01707919e-06,2.81696807e-05,3.52647544e+02,-4.42282333e+03
8.00000000e-10,5.06569396e-06,2.76960291e-05,6.35185065e+02,-5.04518784e+03
9.00000000e-10,5.14751132e-06,2.71620501e-05,1.02002017e+03,-5.62702895e+03
1.00000000e-09,5.27374191e-06,2.65723944e-05,1.52409630e+03,-6.15241197e+03
1.10000000e-09,5.45654460e-06,2.59347608e-05,2.15551995e+03,-6.58290035e+03
1.20000000e-09,5.70909410e-06,2.52602423e-05,2.91627332e+03,-6.88132335e+03
1.30000000e-09,6.04426223e-06,2.45643012e-05,3.80611502e+03,-7.00439556e+03
1.40000000e-09,6.47474405e-06,2.38669031e-05,4.82920220e+03,-6.90071501e+03
1.50000000e-09,7.01401379e-06,2.31937338e-05,5.97406021e+03,-6.50853877e+03
1.60000000e-09,7.67452877e-06,2.25780469e-05,7.26015816e+03,-5.73155238e+03
1.70000000e-09,8.47121899e-06,2.20647004e-05,8.72081094e+03,-4.42717105e+03
1.80000000e-09,9.43196464e-06,2.17189622e-05,1.05950728e+04,-2.32644200e+03
1.90000000e-09,1.06293679e-05,2.16372306e-05,1.36249163e+04,7.64796050e+02
2.00000000e-09,1.22173375e-05,2.18524797e-05,1.83874722e+04,3.39858308e+03
2.10000000e-09,1.43516486e-05,2.22963717e-05,2.45411649e+04,5.43425950e+03
2.20000000e-09,1.71964520e-05,2.29477663e-05,3.29380921e+04,7.71547890e+03
2.30000000e-09,2.11396641e-05,2.38456660e-05,4.72651501e+04,9.96324903e+03
2.40000000e-09,2.68528323e-05,2.48660367e-05,6.72412172e+04,1.03525316e+04
2.50000000e-09,3.44063971e-05,2.59582836e-05,8.22695320e+04,1.15260605e+04
2.60000000e-09,4.32983926e-05,2.70407070e-05,9.75007460e+04,9.71231981e+03
2.70000000e-09,5.40888394e-05,2.80755953e-05,1.16820008e+05,1.20867221e+04
2.80000000e-09,6.64349777e-05,2.92076320e-05,1.32759833e+05,9.40963875e+03
2.90000000e-09,8.08259490e-05,3.02812790e-05,1.52233567e+05,1.29313604e+04
3.00000000e-09,9.69804233e-05,3.13137922e-05,1.74103616e+05,9.42249389e+03
3.10000000e-09,1.15330170e-04,3.24522151e-05,1.93016141e+05,9.27581154e+03
3.20000000e-09,1.36039228e-04,3.34879305e-05,2.17156344e+05,1.29132153e+04
3.30000000e-09,1.59134494e-04,3.44852824e-05,2.47563462e+05,1.12011962e+04
3.40000000e-09,1.85004554e-04,3.55459727e-05,2.75823174e+05,9.18524442e+03
3.50000000e-09,2.14093005e-04,3.66019134e-05,3.09186580e+05,8.84316749e+03
3.60000000e-09,2.46945823e-04,3.76349769e-05,3.50152030e+05,8.47716260e+03
3.70000000e-09,2.84467822e-04,3.86064047e-05,4.03777553e+05,7.50154787e+03
3.78400000e-09,3.20385509e-04,3.98934819e-05,4.35122230e+05,2.34567961e+04
