time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,2.28689721e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.02832334e-06,2.28869473e-05,5.67985933e+02,3.59596645e+02
2.00000000e-10,5.11421111e-06,2.29409258e-05,1.15443179e+03,7.20201760e+02
3.00000000e-10,5.26047669e-06,2.30310338e-05,1.77874162e+03,1.08200227e+03
4.00000000e-10,5.47173805e-06,2.31572014e-05,2.45691172e+03,1.44023950e+03
5.00000000e-10,5.75431683e-06,2.33187548e-05,3.20893395e+03,1.78855042e+03
6.00000000e-10,6.11683329e-06,2.35142926e-05,4.06158104e+03,2.11858618e+03
7.00000000e-10,6.57207548e-06,2.37417606e-05,5.07526753e+03,2.42585009e+03
8.00000000e-10,7.13915888e-06,2.39980180e-05,6.30918695e+03,2.68963486e+03
9.00000000e-10,7.84478154e-06,2.42771872e-05,7.86396883e+03,2.87666405e+03
1.00000000e-09,8.72677706e-06,2.45688150e-05,9.87390163e+03,2.92689829e+03
1.10000000e-09,9.84318500e-06,2.48552719e-05,1.26050173e+04,2.75900491e+03
1.20000000e-09,1.12842248e-05,2.51115902e-05,1.64341017e+04,2.32741475e+03
1.30000000e-09,1.31798453e-05,2.53149672e-05,2.17566609e+04,1.71959559e+03
1.40000000e-09,1.56996784e-05,2.54488592e-05,2.90402492e+04,8.90639669e+02
1.50000000e-09,1.91107205e-05,2.54669234e-05,4.01600466e+04,-6.96732261e+02
1.60000000e-09,2.39886309e-05,2.53227956e-05,5.84765586e+04,-1.83067698e+03
1.70000000e-09,3.08260654e-05,2.51704952e-05,7.71608754e+04,-9.83401401e+02
1.80000000e-09,3.91709393e-05,2.51021067e-05,8.99278864e+04,-7.10830609e+02
1.90000000e-09,4.91012928e-05,2.50214411e-05,1.09348250e+05,-6.53732582e+02
2.00000000e-09,6.08379252e-05,2.49946991e-05,1.24719651e+05,-8.36308535e+01
2.10000000e-09,7.43101861e-05,2.49913270e-05,1.45240975e+05,2.17818294e+02
2.20000000e-09,8.96975620e-05,2.50444617e-05,1.63266086e+05,6.42520866e+02
2.30000000e-09,1.07161520e-04,2.51389618e-05,1.84880734e+05,1.36195894e+03
2.40000000e-09,1.26768768e-04,2.52884078e-05,2.08589098e+05,1.79118057e+03
2.50000000e-09,1.48781748e-04,2.55069066e-05,2.33000474e+05,2.37367497e+03
2.60000000e-09,1.73469000e-04,2.57986645e-05,2.60513586e+05,3.25192622e+03
2.70000000e-09,2.01154056e-04,2.61763030e-05,2.92630453e+05,4.39952003e+03
2.80000000e-09,2.32314060e-04,2.66642792e-05,3.30776243e+05,5.79494018e+03
2.90000000e-09,2.67693244e-04,2.72990558e-05,3.78093210e+05,7.51491975e+03
3.00000000e-09,3.08361320e-04,2.81263768e-05,4.30668221e+05,1.11208182e+04
3.02700000e-09,3.20031569e-04,2.84524921e-05,4.32905555e+05,1.28800047e+04
