time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,2.49579138e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.03280971e-06,2.49526255e-05,6.57700233e+02,-1.05770851e+02
2.00000000e-10,5.13214493e-06,2.49367599e-05,1.33356354e+03,-2.11525308e+02
3.00000000e-10,5.30074885e-06,2.49103305e-05,2.04625350e+03,-3.16956308e+02
4.00000000e-10,5.54327740e-06,2.48734085e-05,2.81544848e+03,-4.21160767e+02
5.00000000e-10,5.86642752e-06,2.48261988e-05,3.66238380e+03,-5.22309064e+02
6.00000000e-10,6.27931646e-06,2.47691320e-05,4.61953925e+03,-6.18133056e+02
7.00000000e-10,6.79613983e-06,2.47028197e-05,5.74947290e+03,-7.06263630e+02
8.00000000e-10,7.43689091e-06,2.46283930e-05,7.11687716e+03,-7.79061163e+02
9.00000000e-10,8.23178228e-06,2.45478916e-05,8.85346152e+03,-8.24994309e+02
1.00000000e-09,9.22691620e-06,2.44649779e-05,1.11651483e+04,-8.23123422e+02
1.10000000e-09,1.04948007e-05,2.43857502e-05,1.43738258e+04,-7.47547859e+02
1.20000000e-09,1.21450513e-05,2.43180691e-05,1.88794708e+04,-5.94982332e+02
1.30000000e-09,1.43268106e-05,2.42688188e-05,2.50796330e+04,-3.77447694e+02
1.40000000e-09,1.72461628e-05,2.42471401e-05,3.39164743e+04,-1.84971917e+01
1.50000000e-09,2.13020598e-05,2.42724479e-05,4.84910817e+04,5.15139573e+02
1.60000000e-09,2.71432242e-05,2.43370090e-05,6.84921582e+04,7.13750925e+02
1.70000000e-09,3.48032385e-05,2.44130689e-05,8.32728480e+04,8.63095858e+02
1.80000000e-09,4.38301226e-05,2.45176702e-05,9.89625366e+04,1.21167424e+03
1.90000000e-09,5.47133479e-05,2.46573320e-05,1.17435914e+05,1.63901282e+03
2.00000000e-09,6.72202761e-05,2.48374375e-05,1.34399613e+05,1.90501727e+03
2.10000000e-09,8.16842592e-05,2.50589574e-05,1.53491863e+05,2.57196824e+03
2.20000000e-09,9.80303094e-05,2.53213765e-05,1.74813423e+05,2.83322484e+03
2.30000000e-09,1.16517562e-04,2.56450438e-05,1.95471707e+05,3.29979363e+03
2.40000000e-09,1.37318864e-04,2.60165052e-05,2.19467874e+05,4.20082026e+03
2.50000000e-09,1.60609444e-04,2.64416950e-05,2.46904867e+05,4.83698476e+03
2.60000000e-09,1.86700013e-04,2.69411101e-05,2.76944655e+05,5.29447153e+03
2.70000000e-09,2.16011214e-04,2.75253396e-05,3.11385525e+05,6.01928366e+03
2.80000000e-09,2.49130977e-04,2.82093261e-05,3.53236336e+05,7.03919282e+03
2.90000000e-09,2.87003502e-04,2.90073472e-05,4.07317038e+05,8.13649056e+03
2.97800000e-09,3.20160983e-04,2.99142648e-05,4.33027227e+05,1.55001844e+04
