time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,2.30335123e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.02932414e-06,2.30499554e-05,5.87876762e+02,3.28849974e+02
2.00000000e-10,5.11813680e-06,2.30992743e-05,1.19262293e+03,6.57435321e+02
3.00000000e-10,5.26899777e-06,2.31814016e-05,1.83189369e+03,9.84743733e+02
4.00000000e-10,5.48630577e-06,2.32960983e-05,2.52495476e+03,1.30822915e+03
5.00000000e-10,5.77650375e-06,2.34427591e-05,3.29358371e+03,1.62295557e+03
6.00000000e-10,6.14841330e-06,2.36201379e-05,4.16582071e+03,1.92155599e+03
7.00000000e-10,6.61528230e-06,2.38264384e-05,5.20417582e+03,2.19989788e+03
8.00000000e-10,7.19666943e-06,2.40587804e-05,6.46768441e+03,2.43803508e+03
9.00000000e-10,7.91977253e-06,2.43116859e-05,8.05658087e+03,2.60407604e+03
1.00000000e-09,8.82364842e-06,2.45753618e-05,1.01229313e+04,2.64235304e+03
1.10000000e-09,9.96908003e-06,2.48333824e-05,1.29430914e+04,2.47816249e+03
1.20000000e-09,1.14501506e-05,2.50629967e-05,1.69030382e+04,2.07979533e+03
1.30000000e-09,1.34007341e-05,2.52443616e-05,2.23940027e+04,1.52791110e+03
1.40000000e-09,1.59960684e-05,2.53615881e-05,2.99436805e+04,7.45324223e+02
1.50000000e-09,1.95251344e-05,2.53678992e-05,4.17047923e+04,-7.53051527e+02
1.60000000e-09,2.45929147e-05,2.52340925e-05,6.05754031e+04,-1.58222397e+03
1.70000000e-09,3.16146985e-05,2.51124107e-05,7.85449829e+04,-6.88029614e+02
1.80000000e-09,4.00889739e-05,2.50634341e-05,9.15631327e+04,-5.75587962e+02
1.90000000e-09,5.02167215e-05,2.50040594e-05,1.11236595e+05,-3.67832944e+02
2.00000000e-09,6.21070887e-05,2.50022076e-05,1.26455595e+05,9.49086957e+01
2.10000000e-09,7.57871321e-05,2.50216728e-05,1.47121767e+05,5.10263853e+02
2.20000000e-09,9.13580326e-05,2.50982565e-05,1.65597005e+05,8.47625464e+02
2.30000000e-09,1.09037601e-04,2.52190672e-05,1.86762239e+05,1.59604201e+03
2.40000000e-09,1.28886519e-04,2.53909576e-05,2.10989441e+05,2.09769574e+03
2.50000000e-09,1.51148310e-04,2.56324650e-05,2.35977774e+05,2.60716963e+03
2.60000000e-09,1.76114193e-04,2.59490078e-05,2.63746685e+05,3.41670400e+03
2.70000000e-09,2.04124219e-04,2.63523242e-05,2.96077655e+05,4.52352790e+03
2.80000000e-09,2.35671797e-04,2.68659712e-05,3.34764810e+05,5.92563733e+03
2.90000000e-09,2.71534540e-04,2.75252805e-05,3.83274002e+05,7.56430798e+03
3.00000000e-09,3.12716516e-04,2.83997124e-05,4.32160924e+05,1.21019934e+04
3.01700000e-09,3.20072145e-04,2.86146327e-05,4.32910799e+05,1.31324038e+04
