time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,2.44574373e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.03279905e-06,2.44579777e-05,6.57486156e+02,1.08096188e+01
2.00000000e-10,5.13210178e-06,2.44595996e-05,1.33312532e+03,2.16295709e+01
3.00000000e-10,5.30064990e-06,2.44623034e-05,2.04557182e+03,3.24405192e+01
4.00000000e-10,5.54309702e-06,2.44660849e-05,2.81449645e+03,4.31621906e+01
5.00000000e-10,5.86613710e-06,2.44709272e-05,3.66112969e+03,5.36193359e+01
6.00000000e-10,6.27888325e-06,2.44767922e-05,4.61791966e+03,6.36101299e+01
7.00000000e-10,6.79552305e-06,2.44836294e-05,5.74741082e+03,7.29769471e+01
8.00000000e-10,7.43604116e-06,2.44913428e-05,7.11424387e+03,8.10323336e+01
9.00000000e-10,8.23063504e-06,2.44997632e-05,8.85010052e+03,8.68819119e+01
1.00000000e-09,9.22538721e-06,2.45085994e-05,1.11608362e+04,8.90853774e+01
1.10000000e-09,1.04927849e-05,2.45174309e-05,1.43683931e+04,8.69232286e+01
1.20000000e-09,1.21424409e-05,2.45259771e-05,1.88730648e+04,8.46737611e+01
1.30000000e-09,1.43235205e-05,2.45346054e-05,2.50723832e+04,8.90815766e+01
1.40000000e-09,1.72420469e-05,2.45437160e-05,3.39065793e+04,8.99093261e+01
1.50000000e-09,2.12966446e-05,2.45517697e-05,4.84750548e+04,7.59547841e+01
1.60000000e-09,2.71362589e-05,2.45640384e-05,6.84799803e+04,2.11341897e+02
1.70000000e-09,3.47957090e-05,2.46028943e-05,8.32713737e+04,5.74498738e+02
1.80000000e-09,4.38220699e-05,2.46705734e-05,9.89529361e+04,7.55096045e+02
1.90000000e-09,5.47045706e-05,2.47667610e-05,1.17433087e+05,1.25313493e+03
2.00000000e-09,6.72109916e-05,2.49061816e-05,1.34390789e+05,1.46547305e+03
2.10000000e-09,8.16742750e-05,2.50846563e-05,1.53485165e+05,2.15148945e+03
2.20000000e-09,9.80192328e-05,2.53045068e-05,1.74801247e+05,2.40473953e+03
2.30000000e-09,1.16505525e-04,2.55852786e-05,1.95459934e+05,2.88427036e+03
2.40000000e-09,1.37305481e-04,2.59145820e-05,2.19458662e+05,3.77383410e+03
2.50000000e-09,1.60594217e-04,2.62995263e-05,2.46880494e+05,4.42138899e+03
2.60000000e-09,1.86682856e-04,2.67603069e-05,2.76913975e+05,4.92523468e+03
2.70000000e-09,2.15991864e-04,2.73089004e-05,3.11351082e+05,5.70549868e+03
2.80000000e-09,2.49108500e-04,2.79624382e-05,3.53192072e+05,6.79553130e+03
2.90000000e-09,2.86976778e-04,2.87383082e-05,4.07257630e+05,7.98038282e+03
2.97800000e-09,3.20128568e-04,2.96167774e-05,4.32997483e+05,1.49146818e+04
