time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,2.23466056e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.02477820e-06,2.23692028e-05,4.96906857e+02,4.51965941e+02
2.00000000e-10,5.09992463e-06,2.24370047e-05,1.01015247e+03,9.04087210e+02
3.00000000e-10,5.22793642e-06,2.25500103e-05,1.55731497e+03,1.35586743e+03
4.00000000e-10,5.41318529e-06,2.27081077e-05,2.15854243e+03,1.80546288e+03
5.00000000e-10,5.66224844e-06,2.29109009e-05,2.83807098e+03,2.24889714e+03
6.00000000e-10,5.98431336e-06,2.31573992e-05,3.62148392e+03,2.67652923e+03
7.00000000e-10,6.39105563e-06,2.34451369e-05,4.54248141e+03,3.07254920e+03
8.00000000e-10,6.89944893e-06,2.37702592e-05,5.66301767e+03,3.41862482e+03
9.00000000e-10,7.53296806e-06,2.41259693e-05,7.06662354e+03,3.67750011e+03
1.00000000e-09,8.32533390e-06,2.45007677e-05,8.85647688e+03,3.78620444e+03
1.10000000e-09,9.32404173e-06,2.48750103e-05,1.12370760e+04,3.64822187e+03
1.20000000e-09,1.06033885e-05,2.52188131e-05,1.45335275e+04,3.16706929e+03
1.30000000e-09,1.22752328e-05,2.54987422e-05,1.91577420e+04,2.40066864e+03
1.40000000e-09,1.44908190e-05,2.56938716e-05,2.54685013e+04,1.46220293e+03
1.50000000e-09,1.74519032e-05,2.57716127e-05,3.43710976e+04,-8.97220360e+01
1.60000000e-09,2.15724767e-05,2.56427535e-05,4.94382418e+04,-2.35648944e+03
1.70000000e-09,2.75293077e-05,2.53869003e-05,6.96977522e+04,-2.32635987e+03
1.80000000e-09,3.52854027e-05,2.52192965e-05,8.40369985e+04,-1.24617135e+03
1.90000000e-09,4.44114573e-05,2.50767040e-05,1.00227240e+05,-1.58397313e+03
2.00000000e-09,5.54083959e-05,2.49471319e-05,1.18311831e+05,-9.04700052e+02
2.10000000e-09,6.80232145e-05,2.48664129e-05,1.35761959e+05,-7.42783190e+02
2.20000000e-09,8.26050813e-05,2.48230039e-05,1.54509785e+05,-1.15441608e+02
2.30000000e-09,9.90842966e-05,2.48270510e-05,1.76175754e+05,2.91854939e+02
2.40000000e-09,1.17700333e-04,2.48904560e-05,1.97051686e+05,8.63035113e+02
2.50000000e-09,1.38647698e-04,2.50147238e-05,2.20898175e+05,1.64156420e+03
2.60000000e-09,1.62105728e-04,2.52097118e-05,2.48407864e+05,2.46474484e+03
2.70000000e-09,1.88380887e-04,2.54931061e-05,2.78862926e+05,3.33313600e+03
2.80000000e-09,2.17901654e-04,2.58866031e-05,3.13764059e+05,4.47550022e+03
2.90000000e-09,2.51273409e-04,2.64219183e-05,3.56215595e+05,6.04657798e+03
3.00000000e-09,2.89470208e-04,2.71350964e-05,4.10987787e+05,7.80694969e+03
3.07200000e-09,3.20151221e-04,2.78472197e-05,4.32861212e+05,1.20436198e+04
