time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,2.59567994e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.02941538e-06,2.59405329e-05,5.89706324e+02,-3.25320500e+02
2.00000000e-10,5.11850460e-06,2.58917434e-05,1.19633852e+03,-6.50374706e+02
3.00000000e-10,5.26983572e-06,2.58104988e-05,1.83760279e+03,-9.74150940e+02
4.00000000e-10,5.48782031e-06,2.56970379e-05,2.53280441e+03,-1.29410848e+03
5.00000000e-10,5.77891726e-06,2.55519649e-05,3.30374184e+03,-1.60532420e+03
6.00000000e-10,6.15196732e-06,2.53765227e-05,4.17858424e+03,-1.90047624e+03
7.00000000e-10,6.62026634e-06,2.51725051e-05,5.22007050e+03,-2.17528742e+03
8.00000000e-10,7.20341672e-06,2.49428078e-05,6.48731949e+03,-2.40973493e+03
9.00000000e-10,7.92872947e-06,2.46929276e-05,8.08125281e+03,-2.57182373e+03
1.00000000e-09,8.83541579e-06,2.44326977e-05,1.01547236e+04,-2.60545309e+03
1.10000000e-09,9.98448043e-06,2.41786814e-05,1.29842831e+04,-2.43428881e+03
1.20000000e-09,1.14702163e-05,2.39540602e-05,1.69550712e+04,-2.02186039e+03
1.30000000e-09,1.34265159e-05,2.37799137e-05,2.24565586e+04,-1.43711703e+03
1.40000000e-09,1.60290178e-05,2.36745567e-05,3.00288401e+04,-5.95043140e+02
1.50000000e-09,1.95695507e-05,2.36862702e-05,4.18551042e+04,9.55789947e+02
1.60000000e-09,2.46538859e-05,2.38444910e-05,6.07329220e+04,1.91301983e+03
1.70000000e-09,3.16860637e-05,2.40231522e-05,7.85927397e+04,1.58925946e+03
1.80000000e-09,4.01662990e-05,2.41950641e-05,9.16668212e+04,2.02925773e+03
1.90000000e-09,5.03062254e-05,2.44216485e-05,1.11339728e+05,2.42455531e+03
2.00000000e-09,6.22042710e-05,2.46838810e-05,1.26554202e+05,2.80206686e+03
2.10000000e-09,7.58961694e-05,2.49810211e-05,1.47219116e+05,3.28285470e+03
2.20000000e-09,9.14769572e-05,2.53321340e-05,1.65736569e+05,3.54083880e+03
2.30000000e-09,1.09169753e-04,2.57277829e-05,1.86858243e+05,4.37656844e+03
2.40000000e-09,1.29033337e-04,2.61633508e-05,2.11160835e+05,4.79361158e+03
2.50000000e-09,1.51309359e-04,2.66648993e-05,2.36182938e+05,5.02236890e+03
2.60000000e-09,1.76293128e-04,2.72303846e-05,2.63938517e+05,5.64784201e+03
2.70000000e-09,2.04326640e-04,2.78609553e-05,2.96246611e+05,6.60373467e+03
2.80000000e-09,2.35903553e-04,2.85695499e-05,3.34953243e+05,7.72382522e+03
2.90000000e-09,2.71803609e-04,2.93737319e-05,3.83521590e+05,8.72772705e+03
3.00000000e-09,3.13042040e-04,3.03901728e-05,4.32538753e+05,1.53305556e+04
3.01700000e-09,3.20402246e-04,3.06640128e-05,4.33118760e+05,1.67566479e+04
