time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.43728132e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.13881653e-06,1.44039559e-05,2.80221687e+03,6.22632523e+02
2.00000000e-10,5.57102039e-06,1.44971089e-05,5.92395608e+03,1.23750519e+03
3.00000000e-10,6.34875448e-06,1.46503940e-05,9.80918333e+03,1.81811807e+03
4.00000000e-10,7.58620995e-06,1.48568588e-05,1.53343578e+04,2.27649558e+03
5.00000000e-10,9.54022357e-06,1.50925025e-05,2.46987242e+04,2.32662193e+03
6.00000000e-10,1.28130356e-05,1.52959502e-05,4.26170461e+04,1.66482116e+03
7.00000000e-10,1.84043334e-05,1.54342507e-05,7.03576579e+04,1.20130369e+03
8.00000000e-10,2.69979972e-05,1.55493513e-05,1.01707621e+05,1.12828617e+03
9.00000000e-10,3.87584637e-05,1.56618623e-05,1.33513883e+05,1.12397659e+03
1.00000000e-09,5.37014687e-05,1.57742501e-05,1.65347390e+05,1.12383909e+03
1.10000000e-09,7.18281854e-05,1.58866320e-05,1.97188433e+05,1.12379768e+03
1.20000000e-09,9.31395311e-05,1.59990090e-05,2.29040781e+05,1.12373811e+03
1.30000000e-09,1.17636892e-04,1.61113789e-05,2.60909673e+05,1.12365671e+03
1.40000000e-09,1.45322205e-04,1.62237396e-05,2.92800729e+05,1.12355440e+03
1.50000000e-09,1.76197944e-04,1.63360893e-05,3.24718882e+05,1.12343715e+03
1.60000000e-09,2.10266981e-04,1.64484270e-05,3.56666871e+05,1.12331734e+03
1.70000000e-09,2.47532278e-04,1.65607533e-05,3.88643454e+05,1.12321400e+03
1.80000000e-09,2.87996393e-04,1.66730766e-05,4.20640527e+05,1.12383984e+03
1.87500000e-09,3.20331309e-04,1.67892007e-05,4.36646406e+05,2.40379724e+03
