time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.21067085e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.08092970e-06,1.22266771e-05,1.64086010e+03,2.39953728e+03
2.00000000e-10,5.33758126e-06,1.25865849e-05,3.56681177e+03,4.79640476e+03
3.00000000e-10,5.81544050e-06,1.31831484e-05,6.13894046e+03,7.11124335e+03
4.00000000e-10,6.60532458e-06,1.39985671e-05,9.92531001e+03,9.10758990e+03
5.00000000e-10,7.87256016e-06,1.49725551e-05,1.59015910e+04,1.01085620e+04
6.00000000e-10,9.92520835e-06,1.59354123e-05,2.61935619e+04,8.54667789e+03
7.00000000e-10,1.34365560e-05,1.65815207e-05,4.60760675e+04,4.40334750e+03
8.00000000e-10,1.94565968e-05,1.69127622e-05,7.51805251e+04,2.69550719e+03
9.00000000e-10,2.85474301e-05,1.71685837e-05,1.06746766e+05,2.50065380e+03
1.00000000e-09,4.08127700e-05,1.74179663e-05,1.38566180e+05,2.49150633e+03
1.10000000e-09,5.62610670e-05,1.76670973e-05,1.70400840e+05,2.49121733e+03
1.20000000e-09,7.48931941e-05,1.79162123e-05,2.02243305e+05,2.49107456e+03
1.30000000e-09,9.67101296e-05,1.81653103e-05,2.34097841e+05,2.49087567e+03
1.40000000e-09,1.21713342e-04,1.84143853e-05,2.65969790e+05,2.49061565e+03
1.50000000e-09,1.49904856e-04,1.86634316e-05,2.97864760e+05,2.49030164e+03
1.60000000e-09,1.81287221e-04,1.89124446e-05,3.29787448e+05,2.48995523e+03
1.70000000e-09,2.15863349e-04,1.91614233e-05,3.61740096e+05,2.48963632e+03
1.80000000e-09,2.53636178e-04,1.94103764e-05,3.93720685e+05,2.48944811e+03
1.90000000e-09,2.94608149e-04,1.96593547e-05,4.25719651e+05,2.49404989e+03
1.95900000e-09,3.20187884e-04,1.98431469e-05,4.36804158e+05,4.18264284e+03
