time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.98986147e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.00351314e-06,1.97637069e-05,8.59275259e+01,-2.70156273e+03
2.00000000e-10,5.02348435e-06,1.93568789e-05,3.62075624e+02,-5.44427877e+03
3.00000000e-10,5.08997406e-06,1.86738561e-05,1.06046150e+03,-8.21537102e+03
4.00000000e-10,5.25941850e-06,1.77170023e-05,2.47485945e+03,-1.08817993e+04
5.00000000e-10,5.61944683e-06,1.65129058e-05,4.92129191e+03,-1.30759710e+04
6.00000000e-10,6.28681682e-06,1.51386409e-05,8.65358764e+03,-1.41503732e+04
7.00000000e-10,7.39784041e-06,1.37539406e-05,1.38205517e+04,-1.30657603e+04
8.00000000e-10,9.11575784e-06,1.26604150e-05,2.10661106e+04,-7.84375908e+03
9.00000000e-10,1.18902945e-05,1.23941912e-05,3.69365381e+04,2.57344597e+03
1.00000000e-09,1.69032864e-05,1.29292292e-05,6.44152878e+04,6.91546559e+03
1.10000000e-09,2.48897331e-05,1.36544433e-05,9.55595443e+04,7.38742358e+03
1.20000000e-09,3.60337955e-05,1.43945093e-05,1.27343406e+05,7.40461175e+03
1.30000000e-09,5.03596496e-05,1.51349854e-05,1.59175147e+05,7.40478869e+03
1.40000000e-09,6.78690607e-05,1.58754633e-05,1.91014434e+05,7.40476371e+03
1.50000000e-09,8.85628801e-05,1.66159364e-05,2.22864081e+05,7.40468802e+03
1.60000000e-09,1.12442391e-04,1.73563985e-05,2.54729175e+05,7.40453944e+03
1.70000000e-09,1.39509418e-04,1.80968414e-05,2.86615336e+05,7.40430477e+03
1.80000000e-09,1.69766335e-04,1.88372566e-05,3.18527745e+05,7.40398753e+03
1.90000000e-09,2.03215957e-04,1.95776397e-05,3.50469722e+05,7.40371349e+03
