time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.81671026e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.07039347e-06,1.80410695e-05,1.42988849e+03,-2.52285921e+03
2.00000000e-10,5.29507254e-06,1.76622772e-05,3.13436031e+03,-5.04840619e+03
3.00000000e-10,5.71786434e-06,1.70336423e-05,5.46184655e+03,-7.49978596e+03
4.00000000e-10,6.42542431e-06,1.61720028e-05,8.93656922e+03,-9.64531992e+03
5.00000000e-10,7.57043873e-06,1.51354199e-05,1.43884107e+04,-1.08367327e+04
6.00000000e-10,9.42129825e-06,1.40852832e-05,2.34799882e+04,-9.57264999e+03
7.00000000e-10,1.25463606e-05,1.33478789e-05,4.10325356e+04,-4.93236515e+03
8.00000000e-10,1.79922547e-05,1.30120877e-05,6.90078096e+04,-2.40406538e+03
9.00000000e-10,2.64537902e-05,1.27956259e-05,1.00398424e+05,-2.05983839e+03
1.00000000e-09,3.80834675e-05,1.25910172e-05,1.32206353e+05,-2.04127429e+03
1.10000000e-09,5.28957102e-05,1.23869292e-05,1.64039632e+05,-2.04073226e+03
1.20000000e-09,7.08916311e-05,1.21828624e-05,1.95880246e+05,-2.04059818e+03
1.30000000e-09,9.20721277e-05,1.19788112e-05,2.27731947e+05,-2.04041595e+03
1.40000000e-09,1.16438563e-04,1.17747811e-05,2.59599945e+05,-2.04017700e+03
1.50000000e-09,1.43992848e-04,1.15707776e-05,2.91489868e+05,-2.03988674e+03
1.60000000e-09,1.74737436e-04,1.13668049e-05,3.23406713e+05,-2.03956323e+03
1.70000000e-09,2.08675188e-04,1.11628649e-05,3.55353354e+05,-2.03923987e+03
1.80000000e-09,2.45809073e-04,1.09589553e-05,3.87328766e+05,-2.03896626e+03
1.90000000e-09,2.86141687e-04,1.07550619e-05,4.19326132e+05,-2.03944731e+03
1.97900000e-09,3.20170394e-04,1.05358003e-05,4.36795303e+05,-4.50474051e+03
