time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.61069108e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.13234260e-06,1.60528700e-05,2.67272325e+03,-1.08064859e+03
2.00000000e-10,5.54509580e-06,1.58911076e-05,5.66196564e+03,-2.14918153e+03
3.00000000e-10,6.28918104e-06,1.56249378e-05,9.39604394e+03,-3.15760135e+03
4.00000000e-10,7.47665590e-06,1.52659323e-05,1.47294559e+04,-3.96473918e+03
5.00000000e-10,9.35171671e-06,1.48538724e-05,2.36609673e+04,-4.09387625e+03
6.00000000e-10,1.24802567e-05,1.44935202e-05,4.07331971e+04,-2.95017015e+03
7.00000000e-10,1.78515377e-05,1.42526324e-05,6.79494259e+04,-2.04906630e+03
8.00000000e-10,2.61980751e-05,1.40581956e-05,9.92064746e+04,-1.89618297e+03
9.00000000e-10,3.77079534e-05,1.38692811e-05,1.31006186e+05,-1.88660124e+03
1.00000000e-09,5.24001561e-05,1.36806432e-05,1.62839102e+05,-1.88629611e+03
1.10000000e-09,7.02760116e-05,1.34920170e-05,1.94679447e+05,-1.88622621e+03
1.20000000e-09,9.13364081e-05,1.33033990e-05,2.26530715e+05,-1.88612685e+03
1.30000000e-09,1.15582691e-04,1.31147928e-05,2.58398092e+05,-1.88599051e+03
1.40000000e-09,1.43016751e-04,1.29262021e-05,2.90287198e+05,-1.88581832e+03
1.50000000e-09,1.73641025e-04,1.27376301e-05,3.22203070e+05,-1.88561971e+03
1.60000000e-09,2.07458361e-04,1.25490784e-05,3.54148683e+05,-1.88541490e+03
1.70000000e-09,2.44471730e-04,1.23605462e-05,3.86123175e+05,-1.88523544e+03
1.80000000e-09,2.84683751e-04,1.21720259e-05,4.18119833e+05,-1.88551786e+03
1.88300000e-09,3.20380569e-04,1.19612363e-05,4.36669662e+05,-4.05879036e+03
