time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.56805502e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.13817945e-06,1.56468254e-05,2.78934536e+03,-6.74235437e+02
2.00000000e-10,5.56839618e-06,1.55459609e-05,5.89668386e+03,-1.33982870e+03
3.00000000e-10,6.34282110e-06,1.53799677e-05,9.77050602e+03,-1.96931762e+03
4.00000000e-10,7.57558174e-06,1.51562829e-05,1.52769039e+04,-2.46694615e+03
5.00000000e-10,9.52203851e-06,1.49007998e-05,2.45988622e+04,-2.52431102e+03
6.00000000e-10,1.27809837e-05,1.46799038e-05,4.24369928e+04,-1.80784677e+03
7.00000000e-10,1.83513116e-05,1.45299539e-05,7.01282210e+04,-1.30005673e+03
8.00000000e-10,2.69214408e-05,1.44054960e-05,1.01469622e+05,-1.21949283e+03
9.00000000e-10,3.86580677e-05,1.42838987e-05,1.33275334e+05,-1.21471540e+03
1.00000000e-09,5.35772148e-05,1.41624381e-05,1.65108786e+05,-1.21456297e+03
1.10000000e-09,7.16800680e-05,1.40409840e-05,1.96949761e+05,-1.21451822e+03
1.20000000e-09,9.29675416e-05,1.39195352e-05,2.28802005e+05,-1.21445390e+03
1.30000000e-09,1.17441018e-04,1.37980940e-05,2.60670752e+05,-1.21436597e+03
1.40000000e-09,1.45102430e-04,1.36766627e-05,2.92561622e+05,-1.21425541e+03
1.50000000e-09,1.75954247e-04,1.35552434e-05,3.24479558e+05,-1.21412862e+03
1.60000000e-09,2.09999340e-04,1.34338371e-05,3.56427321e+05,-1.21399894e+03
1.70000000e-09,2.47240672e-04,1.33124431e-05,3.88403707e+05,-1.21388691e+03
1.80000000e-09,2.87680807e-04,1.31910529e-05,4.20400799e+05,-1.21449013e+03
1.87500000e-09,3.20004059e-04,1.30665685e-05,4.36648668e+05,-2.59830341e+03
