time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.18562197e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.07132132e-06,1.19818282e-05,1.44857036e+03,2.51450600e+03
2.00000000e-10,5.29880925e-06,1.23592662e-05,3.17215182e+03,5.02962686e+03
3.00000000e-10,5.72642887e-06,1.29854957e-05,5.52134271e+03,7.47038914e+03
4.00000000e-10,6.44121862e-06,1.38435835e-05,9.02329858e+03,9.60343199e+03
5.00000000e-10,7.59693164e-06,1.48752071e-05,1.45201857e+04,1.07779890e+04
6.00000000e-10,9.46522127e-06,1.59180864e-05,2.37124403e+04,9.48405123e+03
7.00000000e-10,1.26237570e-05,1.66469650e-05,4.14785902e+04,4.87689906e+03
8.00000000e-10,1.81213883e-05,1.69820105e-05,6.95704529e+04,2.43189219e+03
9.00000000e-10,2.66405162e-05,1.72023970e-05,1.00980634e+05,2.10449873e+03
1.00000000e-09,3.83285131e-05,1.74115549e-05,1.32789928e+05,2.08707086e+03
1.10000000e-09,5.31991204e-05,1.76202251e-05,1.64623340e+05,2.08656136e+03
1.20000000e-09,7.12534197e-05,1.78288747e-05,1.96464116e+05,2.08642654e+03
1.30000000e-09,9.24923151e-05,1.80375087e-05,2.28316069e+05,2.08624263e+03
1.40000000e-09,1.16917179e-04,1.82461213e-05,2.60184420e+05,2.08600150e+03
1.50000000e-09,1.44529934e-04,1.84547072e-05,2.92074798e+05,2.08570872e+03
1.60000000e-09,1.75333041e-04,1.86632620e-05,3.23992175e+05,2.08538266e+03
1.70000000e-09,2.09329367e-04,1.88717838e-05,3.55939368e+05,2.08505725e+03
1.80000000e-09,2.46521878e-04,1.90802751e-05,3.87915267e+05,2.08478619e+03
1.90000000e-09,2.86913159e-04,1.92887520e-05,4.19912892e+05,2.08540384e+03
1.97700000e-09,3.20099908e-04,1.95053767e-05,4.36789797e+05,4.49064578e+03
