time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.29375243e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.10958786e-06,1.30318694e-05,2.21664179e+03,1.88746078e+03
2.00000000e-10,5.45320271e-06,1.33144509e-05,4.73269575e+03,3.75648820e+03
3.00000000e-10,6.07950067e-06,1.37805091e-05,7.95623118e+03,5.53978423e+03
4.00000000e-10,7.09106543e-06,1.44126858e-05,1.25965340e+04,7.01669663e+03
5.00000000e-10,8.69316211e-06,1.51518459e-05,2.01252230e+04,7.49829141e+03
6.00000000e-10,1.13272656e-05,1.58325675e-05,3.41253767e+04,5.68193647e+03
7.00000000e-10,1.58945998e-05,1.62707822e-05,5.88848381e+04,3.39048690e+03
8.00000000e-10,2.32988558e-05,1.65741033e-05,8.96039635e+04,2.85596018e+03
9.00000000e-10,3.38453268e-05,1.68566665e-05,1.21359772e+05,2.81405409e+03
1.00000000e-09,4.75727143e-05,1.71379606e-05,1.53189836e+05,2.81257087e+03
1.10000000e-09,6.44835297e-05,1.74192114e-05,1.85027717e+05,2.81245127e+03
1.20000000e-09,8.45785740e-05,1.77004496e-05,2.16875140e+05,2.81230414e+03
1.30000000e-09,1.07859039e-04,1.79816703e-05,2.48737017e+05,2.81209949e+03
1.40000000e-09,1.34326645e-04,1.82628676e-05,2.80618922e+05,2.81183662e+03
1.50000000e-09,1.63983671e-04,1.85440360e-05,3.12526202e+05,2.81152674e+03
1.60000000e-09,1.96832862e-04,1.88251722e-05,3.44462648e+05,2.81119700e+03
1.70000000e-09,2.32877194e-04,1.91062763e-05,3.76428750e+05,2.81089927e+03
1.80000000e-09,2.72119456e-04,1.93873571e-05,4.08419967e+05,2.81074849e+03
1.90000000e-09,3.14540624e-04,1.96885040e-05,4.36735617e+05,4.52379523e+03
1.91300000e-09,3.20218350e-04,1.97491073e-05,4.36755520e+05,4.76305827e+03
