time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.49599453e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.14214848e-06,1.49619467e-05,2.86885480e+03,4.00105066e+01
2.00000000e-10,5.58430231e-06,1.49679306e-05,6.05580029e+03,7.94613703e+01
3.00000000e-10,6.37871969e-06,1.49777701e-05,1.00153038e+04,1.16699469e+02
4.00000000e-10,7.64204540e-06,1.49910228e-05,1.56561529e+04,1.46105120e+02
5.00000000e-10,9.63821643e-06,1.50061270e-05,2.52532768e+04,1.48791591e+02
6.00000000e-10,1.29871689e-05,1.50191158e-05,4.35925286e+04,1.06525255e+02
7.00000000e-10,1.86905415e-05,1.50280567e-05,7.15741576e+04,7.85438394e+01
8.00000000e-10,2.74087365e-05,1.50356178e-05,1.02966434e+05,7.42982409e+01
9.00000000e-10,3.92952877e-05,1.50430296e-05,1.34775506e+05,7.40538815e+01
1.00000000e-09,5.43644697e-05,1.50504345e-05,1.66609293e+05,7.40460099e+01
1.10000000e-09,7.26173932e-05,1.50578389e-05,1.98450697e+05,7.40432937e+01
1.20000000e-09,9.40549913e-05,1.50652431e-05,2.30303600e+05,7.40393689e+01
1.30000000e-09,1.18678671e-04,1.50726468e-05,2.62173268e+05,7.40340154e+01
1.40000000e-09,1.46490391e-04,1.50800498e-05,2.94065316e+05,7.40273023e+01
1.50000000e-09,1.77492646e-04,1.50874522e-05,3.25984626e+05,7.40196316e+01
1.60000000e-09,2.11688317e-04,1.50948538e-05,3.57933810e+05,7.40118290e+01
1.70000000e-09,2.49080362e-04,1.51022546e-05,3.89911430e+05,7.40051542e+01
1.80000000e-09,2.89671303e-04,1.51096555e-05,4.21908008e+05,7.40796240e+01
1.87100000e-09,3.20318008e-04,1.51169931e-05,4.36632910e+05,1.57766421e+02
