time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.81535273e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.04419440e-06,1.80746407e-05,8.92496280e+02,-1.57863034e+03
2.00000000e-10,5.18203262e-06,1.78375383e-05,1.89109809e+03,-3.16297566e+03
3.00000000e-10,5.42997305e-06,1.74425518e-05,3.11830265e+03,-4.73252365e+03
4.00000000e-10,5.81857214e-06,1.68932065e-05,4.73744337e+03,-6.23887840e+03
5.00000000e-10,6.39797599e-06,1.62007630e-05,6.97914698e+03,-7.56442598e+03
6.00000000e-10,7.24611188e-06,1.53948165e-05,1.01803905e+04,-8.44743282e+03
7.00000000e-10,8.48366677e-06,1.45431847e-05,1.48910065e+04,-8.35931262e+03
8.00000000e-10,1.03146284e-05,1.37840665e-05,2.23826873e+04,-6.45979665e+03
9.00000000e-10,1.31457949e-05,1.33001241e-05,3.53274770e+04,-3.23435529e+03
1.00000000e-09,1.75820308e-05,1.31290893e-05,5.45561165e+04,1.89919039e+02
1.10000000e-09,2.46047069e-05,1.34407454e-05,8.93744763e+04,4.89828284e+03
1.20000000e-09,3.53771121e-05,1.38105819e-05,1.21659924e+05,2.51105691e+03
1.30000000e-09,4.90836419e-05,1.41651303e-05,1.55838539e+05,3.70853342e+03
1.40000000e-09,6.60483899e-05,1.45082552e-05,1.86310612e+05,3.77507218e+03
1.50000000e-09,8.62222638e-05,1.48614796e-05,2.18193911e+05,3.60438377e+03
1.60000000e-09,1.09596183e-04,1.52147630e-05,2.50773438e+05,3.55037540e+03
1.70000000e-09,1.36158423e-04,1.55708876e-05,2.80998933e+05,3.71107331e+03
1.80000000e-09,1.65881358e-04,1.59216696e-05,3.13763112e+05,3.26627481e+03
1.90000000e-09,1.98836597e-04,1.62782259e-05,3.44487519e+05,3.61607277e+03
2.00000000e-09,2.34986599e-04,1.66261469e-05,3.77405808e+05,3.93654321e+03
2.10000000e-09,2.74335842e-04,1.69749947e-05,4.09653822e+05,3.98110303e+03
2.20000000e-09,3.16823412e-04,1.73492603e-05,4.36715010e+05,5.06828852e+03
2.20800000e-09,3.20317388e-04,1.73902602e-05,4.36759280e+05,5.16631392e+03
