time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.08856057e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.02014262e-06,1.09716088e-05,4.09938200e+02,1.72171389e+03
2.00000000e-10,5.08492813e-06,1.12303837e-05,9.08857217e+02,3.45477359e+03
3.00000000e-10,5.20835936e-06,1.16628534e-05,1.60195937e+03,5.19493881e+03
4.00000000e-10,5.41608978e-06,1.22682921e-05,2.61899994e+03,6.90236812e+03
5.00000000e-10,5.74825886e-06,1.30389025e-05,4.12148611e+03,8.47635193e+03
6.00000000e-10,6.26284483e-06,1.39526784e-05,6.29996842e+03,9.72014713e+03
7.00000000e-10,7.03794908e-06,1.49604586e-05,9.37008340e+03,1.02813171e+04
8.00000000e-10,8.17651473e-06,1.59667162e-05,1.36409820e+04,9.56097220e+03
9.00000000e-10,9.83452103e-06,1.67967479e-05,2.00493444e+04,6.56382133e+03
1.00000000e-09,1.23649730e-05,1.72070018e-05,3.17308008e+04,1.67582938e+03
1.10000000e-09,1.63808110e-05,1.71872194e-05,4.94312583e+04,-2.05802973e+03
1.20000000e-09,2.26380680e-05,1.66685926e-05,7.95839816e+04,-8.08299841e+03
1.30000000e-09,3.25930437e-05,1.58883064e-05,1.16403080e+05,-6.60273108e+03
1.40000000e-09,4.55473562e-05,1.52062917e-05,1.46790872e+05,-7.20504407e+03
1.50000000e-09,6.18060591e-05,1.44928387e-05,1.76873319e+05,-6.83606655e+03
1.60000000e-09,8.12331635e-05,1.37832311e-05,2.08762268e+05,-6.71635183e+03
1.70000000e-09,1.03835072e-04,1.30860860e-05,2.41674496e+05,-6.25138986e+03
1.80000000e-09,1.29654776e-04,1.24025214e-05,2.75567856e+05,-6.90939194e+03
1.90000000e-09,1.58656817e-04,1.16845747e-05,3.04336451e+05,-7.37370232e+03
2.00000000e-09,1.90849206e-04,1.10246501e-05,3.39665608e+05,-7.49149898e+03
2.10000000e-09,2.26222639e-04,1.03257091e-05,3.70547662e+05,-5.96640702e+03
