time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.58954243e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.08478973e-06,1.58677210e-05,1.70570175e+03,-5.53922026e+02
2.00000000e-10,5.34516007e-06,1.57847465e-05,3.53237814e+03,-1.10431777e+03
3.00000000e-10,5.79989379e-06,1.56473474e-05,5.62293219e+03,-1.64037636e+03
4.00000000e-10,6.48610484e-06,1.54578144e-05,8.21095569e+03,-2.14123091e+03
5.00000000e-10,7.47148881e-06,1.52222921e-05,1.16967831e+04,-2.54357725e+03
6.00000000e-10,8.88259379e-06,1.49576142e-05,1.69287908e+04,-2.68420985e+03
7.00000000e-10,1.09725053e-05,1.47038839e-05,2.56590803e+04,-2.28602924e+03
8.00000000e-10,1.42083125e-05,1.45135545e-05,4.01180956e+04,-1.50474806e+03
9.00000000e-10,1.92484003e-05,1.44181620e-05,6.26987497e+04,-1.66942725e+02
1.00000000e-09,2.73487445e-05,1.44677292e-05,1.00962357e+05,5.97882387e+02
1.10000000e-09,3.89447280e-05,1.44731150e-05,1.28641475e+05,1.06664223e+02
1.20000000e-09,5.36401697e-05,1.45082829e-05,1.63529452e+05,-1.94607567e+01
1.30000000e-09,7.14931653e-05,1.45350286e-05,1.96091528e+05,1.48159779e+02
1.40000000e-09,9.25593583e-05,1.45605624e-05,2.27488618e+05,1.30359128e+02
1.50000000e-09,1.16812162e-04,1.45856302e-05,2.57797567e+05,1.53802536e+02
1.60000000e-09,1.44236300e-04,1.46149862e-05,2.90279440e+05,4.09593704e+02
1.70000000e-09,1.74901036e-04,1.46443013e-05,3.22395038e+05,1.84982194e+02
1.80000000e-09,2.08732014e-04,1.46744253e-05,3.55271785e+05,3.28603281e+02
1.90000000e-09,2.45774680e-04,1.47034664e-05,3.86728277e+05,3.66344703e+02
2.00000000e-09,2.86028095e-04,1.47332843e-05,4.18830640e+05,3.54753478e+02
2.08000000e-09,3.20426425e-04,1.47526777e-05,4.36698963e+05,1.13306292e+02
