time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.90892294e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.02075374e-06,1.90032383e-05,4.22184268e+02,-1.72153711e+03
2.00000000e-10,5.08740992e-06,1.87445775e-05,9.34165791e+02,-3.45263138e+03
3.00000000e-10,5.21406541e-06,1.83123941e-05,1.64135466e+03,-5.19096126e+03
4.00000000e-10,5.42651921e-06,1.77074907e-05,2.67440347e+03,-6.89521897e+03
5.00000000e-10,5.76517438e-06,1.69378045e-05,4.19664776e+03,-8.46468817e+03
6.00000000e-10,6.28848052e-06,1.60255843e-05,6.40095458e+03,-9.70008386e+03
7.00000000e-10,7.07539843e-06,1.50205345e-05,9.50825643e+03,-1.02448967e+04
8.00000000e-10,8.23061740e-06,1.40194264e-05,1.38427831e+04,-9.49008773e+03
9.00000000e-10,9.91485276e-06,1.31993796e-05,2.03959426e+04,-6.43431315e+03
1.00000000e-09,1.24931895e-05,1.28007130e-05,3.23403557e+04,-1.60625939e+03
1.10000000e-09,1.65800399e-05,1.28246485e-05,5.02585549e+04,2.13011538e+03
1.20000000e-09,2.29594690e-05,1.33560950e-05,8.12300476e+04,8.06823418e+03
1.30000000e-09,3.30609626e-05,1.41189350e-05,1.17350182e+05,6.41477717e+03
1.40000000e-09,4.61384590e-05,1.47919535e-05,1.48421831e+05,7.10292449e+03
1.50000000e-09,6.25178573e-05,1.54920765e-05,1.78432483e+05,6.70179961e+03
1.60000000e-09,8.20728890e-05,1.61897967e-05,2.10302071e+05,6.50963306e+03
1.70000000e-09,1.04807407e-04,1.68746009e-05,2.43373026e+05,6.14983523e+03
1.80000000e-09,1.30762500e-04,1.75511780e-05,2.76750415e+05,7.20877499e+03
1.90000000e-09,1.59880810e-04,1.82568106e-05,3.05554164e+05,6.63365452e+03
2.00000000e-09,1.92215786e-04,1.89092035e-05,3.40365564e+05,7.82067093e+03
2.10000000e-09,2.27718806e-04,1.95796021e-05,3.72523549e+05,5.81743111e+03
