time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.31382587e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.07195628e-06,1.31925651e-05,1.44862427e+03,1.08598393e+03
2.00000000e-10,5.29362633e-06,1.33553351e-05,3.01498505e+03,2.16792728e+03
3.00000000e-10,5.68347361e-06,1.36254857e-05,4.83913242e+03,3.22933652e+03
4.00000000e-10,6.27661005e-06,1.39991254e-05,7.12418127e+03,4.22723546e+03
5.00000000e-10,7.13477017e-06,1.44654333e-05,1.02124266e+04,5.05479740e+03
6.00000000e-10,8.36662054e-06,1.49958038e-05,1.47443431e+04,5.44249133e+03
7.00000000e-10,1.01743669e-05,1.55214099e-05,2.20445656e+04,4.85903835e+03
8.00000000e-10,1.29474590e-05,1.59306679e-05,3.44506736e+04,3.24849578e+03
9.00000000e-10,1.72792973e-05,1.61646552e-05,5.34509743e+04,1.21627565e+03
1.00000000e-09,2.41371773e-05,1.61025948e-05,8.70856574e+04,-1.92284263e+03
1.10000000e-09,3.47173867e-05,1.59884116e-05,1.20361886e+05,-1.31967564e+02
1.20000000e-09,4.82322918e-05,1.58895346e-05,1.53818078e+05,-1.29094559e+03
1.30000000e-09,6.50230521e-05,1.58005287e-05,1.83997991e+05,-1.40505479e+03
1.40000000e-09,8.50156979e-05,1.56992632e-05,2.15885066e+05,-1.32027076e+03
1.50000000e-09,1.08203499e-04,1.55941001e-05,2.48805787e+05,-1.15843200e+03
1.60000000e-09,1.34591715e-04,1.54927831e-05,2.79715192e+05,-8.68715644e+02
1.70000000e-09,1.64131428e-04,1.53892101e-05,3.11416241e+05,-1.15738431e+03
1.80000000e-09,1.96908419e-04,1.52847255e-05,3.43044901e+05,-9.80533939e+02
1.90000000e-09,2.32869723e-04,1.51792369e-05,3.76110747e+05,-1.01101421e+03
2.00000000e-09,2.72035247e-04,1.50744279e-05,4.08290319e+05,-1.03921664e+03
2.10000000e-09,3.14362270e-04,1.49695511e-05,4.36478417e+05,-1.06095914e+03
2.11300000e-09,3.20038686e-04,1.49557289e-05,4.36716110e+05,-1.06495476e+03
