time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.83161125e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.04014643e-06,1.82353634e-05,8.11228744e+02,-1.61549955e+03
2.00000000e-10,5.16567913e-06,1.79927983e-05,1.72623680e+03,-3.23746710e+03
3.00000000e-10,5.39279495e-06,1.75881695e-05,2.86471356e+03,-4.84970981e+03
4.00000000e-10,5.75124271e-06,1.70247658e-05,4.38417709e+03,-6.40212419e+03
5.00000000e-10,6.28951959e-06,1.63133878e-05,6.50351608e+03,-7.78053773e+03
6.00000000e-10,7.08184572e-06,1.54826738e-05,9.52583794e+03,-8.73073635e+03
7.00000000e-10,8.24020685e-06,1.45977095e-05,1.39273589e+04,-8.75321841e+03
8.00000000e-10,9.94638756e-06,1.37914071e-05,2.07631547e+04,-6.99953422e+03
9.00000000e-10,1.25627097e-05,1.32600371e-05,3.26486354e+04,-3.56130266e+03
1.00000000e-09,1.66805299e-05,1.30598672e-05,5.06878906e+04,-3.05381973e+02
1.10000000e-09,2.31317883e-05,1.33275051e-05,8.21738164e+04,5.24300852e+03
1.20000000e-09,3.33205138e-05,1.37880641e-05,1.17913867e+05,3.09938971e+03
1.30000000e-09,4.64643249e-05,1.41673260e-05,1.49340896e+05,4.48954012e+03
1.40000000e-09,6.29132962e-05,1.45622959e-05,1.79314991e+05,4.18404525e+03
1.50000000e-09,8.25413876e-05,1.49668534e-05,2.11230199e+05,4.01362048e+03
1.60000000e-09,1.05350847e-04,1.53687272e-05,2.44268294e+05,3.88172000e+03
1.70000000e-09,1.31375241e-04,1.57681741e-05,2.77014573e+05,4.15993720e+03
1.80000000e-09,1.60563161e-04,1.61749676e-05,3.06908790e+05,3.87252708e+03
1.90000000e-09,1.92968291e-04,1.65679418e-05,3.40485864e+05,4.38965753e+03
2.00000000e-09,2.28552570e-04,1.69631620e-05,3.72896399e+05,3.73586231e+03
2.10000000e-09,2.67351030e-04,1.73595532e-05,4.04718888e+05,3.50081897e+03
2.20000000e-09,3.09344995e-04,1.77619103e-05,4.35561947e+05,4.51946442e+03
2.22500000e-09,3.20258109e-04,1.79017492e-05,4.36767992e+05,5.97944742e+03
