time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.93788406e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.01372438e-06,1.92927108e-05,2.81396904e+02,-1.72361966e+03
2.00000000e-10,5.05908021e-06,1.90336745e-05,6.47086195e+02,-3.46073291e+03
3.00000000e-10,5.14913359e-06,1.86000147e-05,1.19373905e+03,-5.21229933e+03
4.00000000e-10,5.30790375e-06,1.79916921e-05,2.04383255e+03,-6.94497376e+03
5.00000000e-10,5.57282500e-06,1.72147847e-05,3.34227004e+03,-8.56153299e+03
6.00000000e-10,5.99698068e-06,1.62888508e-05,5.25663333e+03,-9.88683822e+03
7.00000000e-10,6.65014309e-06,1.52573097e-05,7.95059933e+03,-1.06097982e+04
8.00000000e-10,7.61930340e-06,1.42031340e-05,1.16146455e+04,-1.02348726e+04
9.00000000e-10,9.01960479e-06,1.32745932e-05,1.67166211e+04,-7.91102446e+03
1.00000000e-09,1.10804592e-05,1.27206097e-05,2.55026279e+04,-2.79467657e+03
1.10000000e-09,1.43510543e-05,1.26863579e-05,4.08503532e+04,1.68827242e+03
1.20000000e-09,1.94435525e-05,1.30723715e-05,6.30106001e+04,6.87888523e+03
1.30000000e-09,2.76355713e-05,1.39623300e-05,1.02186224e+05,9.17188455e+03
1.40000000e-09,3.93242169e-05,1.47901666e-05,1.29647555e+05,8.17830043e+03
1.50000000e-09,5.41311012e-05,1.56262824e-05,1.64256229e+05,8.72546152e+03
1.60000000e-09,7.20904460e-05,1.64489398e-05,1.97021084e+05,8.86533451e+03
1.70000000e-09,9.32595157e-05,1.72792904e-05,2.28362274e+05,9.22520019e+03
1.80000000e-09,1.17608845e-04,1.81212203e-05,2.58120593e+05,9.09589871e+03
1.90000000e-09,1.45124389e-04,1.89194306e-05,2.91680420e+05,6.64216911e+03
2.00000000e-09,1.75910600e-04,1.97353447e-05,3.22878112e+05,9.06196895e+03
