time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.57111790e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.08616769e-06,1.56890729e-05,1.73343571e+03,-4.42038372e+02
2.00000000e-10,5.35077477e-06,1.56228441e-05,3.58986981e+03,-8.81624599e+02
3.00000000e-10,5.81291581e-06,1.55131157e-05,5.71467869e+03,-1.31046696e+03
4.00000000e-10,6.51007538e-06,1.53616842e-05,8.33645902e+03,-1.71044675e+03
5.00000000e-10,7.51002663e-06,1.51736153e-05,1.18666019e+04,-2.03018488e+03
6.00000000e-10,8.94192200e-06,1.49625613e-05,1.71844149e+04,-2.13741446e+03
7.00000000e-10,1.10650951e-05,1.47609870e-05,2.60847357e+04,-1.81155791e+03
8.00000000e-10,1.43545675e-05,1.46102506e-05,4.07696702e+04,-1.19089649e+03
9.00000000e-10,1.94787678e-05,1.45364422e-05,6.38382534e+04,-9.26413402e+01
1.00000000e-09,2.77191792e-05,1.45758118e-05,1.02350647e+05,4.21936574e+02
1.10000000e-09,3.94139822e-05,1.45764197e-05,1.29739798e+05,1.12552612e+02
1.20000000e-09,5.42349232e-05,1.46017610e-05,1.64336611e+05,-5.16060042e+01
1.30000000e-09,7.22056845e-05,1.46212812e-05,1.97015665e+05,5.95937610e+01
1.40000000e-09,9.33849859e-05,1.46393247e-05,2.28334930e+05,5.82970615e+01
1.50000000e-09,1.17747178e-04,1.46571373e-05,2.58697018e+05,1.22796938e+02
1.60000000e-09,1.45289625e-04,1.46790663e-05,2.91767152e+05,3.09013847e+02
1.70000000e-09,1.76068959e-04,1.46995533e-05,3.23207451e+05,1.26809957e+02
1.80000000e-09,2.10019316e-04,1.47217960e-05,3.56478820e+05,2.09420015e+02
1.90000000e-09,2.47175853e-04,1.47428976e-05,3.88181170e+05,2.63931590e+02
2.00000000e-09,2.87545015e-04,1.47644691e-05,4.20265700e+05,2.53474211e+02
2.07600000e-09,3.20258291e-04,1.47767932e-05,4.36695994e+05,5.05635432e+01
