time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.45684354e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.08790643e-06,1.45819754e-05,1.76817234e+03,2.70726914e+02
2.00000000e-10,5.35769597e-06,1.46225264e-05,3.65848551e+03,5.39650253e+02
3.00000000e-10,5.82827970e-06,1.46896549e-05,5.81421017e+03,8.01221810e+02
4.00000000e-10,6.53690459e-06,1.47821698e-05,8.46832857e+03,1.04436099e+03
5.00000000e-10,7.55243998e-06,1.48969350e-05,1.20506721e+04,1.23806878e+03
6.00000000e-10,9.00702300e-06,1.50254812e-05,1.74643628e+04,1.29955540e+03
7.00000000e-10,1.11667343e-05,1.51476993e-05,2.65519501e+04,1.09514090e+03
8.00000000e-10,1.45148736e-05,1.52387364e-05,4.14807944e+04,7.18160963e+02
9.00000000e-10,1.97314649e-05,1.52820184e-05,6.50918397e+04,2.82287043e+01
1.00000000e-09,2.81235183e-05,1.52580767e-05,1.03814917e+05,-2.21111055e+02
1.10000000e-09,3.99244468e-05,1.52595816e-05,1.30993197e+05,-9.06675088e+01
1.20000000e-09,5.48796723e-05,1.52457538e-05,1.65202752e+05,4.64653336e+01
1.30000000e-09,7.29782556e-05,1.52347772e-05,1.97954982e+05,-6.46419229e+00
1.40000000e-09,9.42797185e-05,1.52249432e-05,2.29215166e+05,-1.52023473e+01
1.50000000e-09,1.18760812e-04,1.52150643e-05,2.59769952e+05,-8.60541758e+01
1.60000000e-09,1.46433496e-04,1.52024155e-05,2.93358579e+05,-1.73184256e+02
1.70000000e-09,1.77334209e-04,1.51915050e-05,3.24142946e+05,-7.58286103e+01
1.80000000e-09,2.11414971e-04,1.51789069e-05,3.57613339e+05,-9.41032165e+01
1.90000000e-09,2.48695954e-04,1.51670249e-05,3.89648730e+05,-1.36103224e+02
2.00000000e-09,2.89190326e-04,1.51550218e-05,4.21686480e+05,-1.28644282e+02
2.07200000e-09,3.20218086e-04,1.51491249e-05,4.36694720e+05,-9.85146510e+00
