time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.27449181e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.06451974e-06,1.28082644e-05,1.29978689e+03,1.26704962e+03
2.00000000e-10,5.26383679e-06,1.29983284e-05,2.71679132e+03,2.53377779e+03
3.00000000e-10,5.61606895e-06,1.33142703e-05,4.38157578e+03,3.77738075e+03
4.00000000e-10,6.15505344e-06,1.37517873e-05,6.49189550e+03,4.95459684e+03
5.00000000e-10,6.93935963e-06,1.42992313e-05,9.35424314e+03,5.94707219e+03
6.00000000e-10,8.06841338e-06,1.49259504e-05,1.35070644e+04,6.47131328e+03
7.00000000e-10,9.71874964e-06,1.55586775e-05,2.00389768e+04,5.94665971e+03
8.00000000e-10,1.22291374e-05,1.60662875e-05,3.11572458e+04,4.05291354e+03
9.00000000e-10,1.61605184e-05,1.63654719e-05,4.85418843e+04,1.85593432e+03
1.00000000e-09,2.23160276e-05,1.63468949e-05,7.80463652e+04,-2.30879919e+03
1.10000000e-09,3.21224861e-05,1.61342073e-05,1.15399537e+05,-8.32820051e+02
1.20000000e-09,4.49441764e-05,1.60134739e-05,1.45063694e+05,-2.14416490e+03
1.30000000e-09,6.10772561e-05,1.58681011e-05,1.75254397e+05,-1.72160769e+03
1.40000000e-09,8.03700510e-05,1.57105774e-05,2.07308291e+05,-1.61287980e+03
1.50000000e-09,1.02834916e-04,1.55514228e-05,2.39986343e+05,-1.74202391e+03
1.60000000e-09,1.28510083e-04,1.53911528e-05,2.73683513e+05,-1.63973637e+03
1.70000000e-09,1.57384761e-04,1.52355489e-05,3.03851645e+05,-1.51956264e+03
1.80000000e-09,1.89435190e-04,1.50771127e-05,3.37508900e+05,-1.58559681e+03
1.90000000e-09,2.24689184e-04,1.49195424e-05,3.68597557e+05,-1.55769390e+03
2.00000000e-09,2.63155532e-04,1.47615406e-05,4.00316321e+05,-1.52559373e+03
2.10000000e-09,3.04819375e-04,1.46034598e-05,4.31978973e+05,-1.54676848e+03
2.13500000e-09,3.20063196e-04,1.45421873e-05,4.36724044e+05,-1.88446125e+03
