time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.50100641e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.08896674e-06,1.50097483e-05,1.78951617e+03,-6.31411959e+00
2.00000000e-10,5.36201794e-06,1.50088024e-05,3.70275668e+03,-1.25903785e+01
3.00000000e-10,5.83830818e-06,1.50072358e-05,5.88489200e+03,-1.87035512e+01
4.00000000e-10,6.55557018e-06,1.50050754e-05,8.57182082e+03,-2.43970531e+01
5.00000000e-10,7.58359288e-06,1.50023934e-05,1.21997513e+04,-2.89404070e+01
6.00000000e-10,9.05644883e-06,1.49993888e-05,1.76881615e+04,-3.03643147e+01
7.00000000e-10,1.12451654e-05,1.49965356e-05,2.69198432e+04,-2.55501288e+01
8.00000000e-10,1.46389950e-05,1.49944092e-05,4.20322469e+04,-1.67928719e+01
9.00000000e-10,1.99282802e-05,1.49934140e-05,6.60841433e+04,-3.17737374e-01
1.00000000e-09,2.84365853e-05,1.49939539e-05,1.04892577e+05,4.32181093e+00
1.10000000e-09,4.03176059e-05,1.49938719e-05,1.31997894e+05,2.35325011e+00
1.20000000e-09,5.53737454e-05,1.49941488e-05,1.65863802e+05,-1.45975019e+00
1.30000000e-09,7.35696965e-05,1.49943727e-05,1.98637250e+05,-4.78689855e-01
1.40000000e-09,9.49639317e-05,1.49945668e-05,2.29874920e+05,-9.63341089e-02
1.50000000e-09,1.19536136e-04,1.49947665e-05,2.60672094e+05,2.14251688e+00
1.60000000e-09,1.47309040e-04,1.49950331e-05,2.94532334e+05,3.53615251e+00
1.70000000e-09,1.78300440e-04,1.49952454e-05,3.24926607e+05,1.72374378e+00
1.80000000e-09,2.12480578e-04,1.49955063e-05,3.58372351e+05,1.48754813e+00
1.90000000e-09,2.49857058e-04,1.49957522e-05,3.90649904e+05,2.45956526e+00
2.00000000e-09,2.90446452e-04,1.49959974e-05,4.22631062e+05,2.27652748e+00
2.06900000e-09,3.20207132e-04,1.49960955e-05,4.36692123e+05,-4.15996613e-01
