time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.16861366e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.04020241e-06,1.17668600e-05,8.12352220e+02,1.61498966e+03
2.00000000e-10,5.16590554e-06,1.20093509e-05,1.72853402e+03,3.23650433e+03
3.00000000e-10,5.39331068e-06,1.24138534e-05,2.86823249e+03,4.84816610e+03
4.00000000e-10,5.75217744e-06,1.29770730e-05,4.38909000e+03,6.39999089e+03
5.00000000e-10,6.29102594e-06,1.36882031e-05,6.51012642e+03,7.77770372e+03
6.00000000e-10,7.08412618e-06,1.45185910e-05,9.53489888e+03,8.72699202e+03
7.00000000e-10,8.24358010e-06,1.54031120e-05,1.39406099e+04,8.74794167e+03
8.00000000e-10,9.95146596e-06,1.62087716e-05,2.07852096e+04,6.99198746e+03
9.00000000e-10,1.25707403e-05,1.67394507e-05,3.26858674e+04,3.55637421e+03
1.00000000e-09,1.66929790e-05,1.69392386e-05,5.07406015e+04,2.99561871e+02
1.10000000e-09,2.31520063e-05,1.66708706e-05,8.22759564e+04,-5.24026070e+03
1.20000000e-09,3.33495053e-05,1.62115709e-05,1.17968990e+05,-3.08834288e+03
1.30000000e-09,4.65010169e-05,1.58326664e-05,1.49439838e+05,-4.48062079e+03
1.40000000e-09,6.29573213e-05,1.54384906e-05,1.79412751e+05,-4.17929244e+03
1.50000000e-09,8.25931906e-05,1.50346710e-05,2.11326307e+05,-4.00775039e+03
1.60000000e-09,1.05410692e-04,1.46335046e-05,2.44368261e+05,-3.87642821e+03
1.70000000e-09,1.31443074e-04,1.42346548e-05,2.77079552e+05,-4.15774483e+03
1.80000000e-09,1.60638305e-04,1.38286358e-05,3.06995812e+05,-3.85728326e+03
1.90000000e-09,1.93051649e-04,1.34361766e-05,3.40541069e+05,-4.38718871e+03
2.00000000e-09,2.28643923e-04,1.30417497e-05,3.72987276e+05,-3.74499538e+03
2.10000000e-09,2.67450239e-04,1.26460466e-05,4.04819908e+05,-3.50709500e+03
2.20000000e-09,3.09451776e-04,1.22440870e-05,4.35618270e+05,-4.55076739e+03
2.22500000e-09,3.20365154e-04,1.21041817e-05,4.36767702e+05,-5.97053672e+03
