time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.80779161e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.04607787e-06,1.79998959e-05,9.30327605e+02,-1.56147700e+03
2.00000000e-10,5.18957992e-06,1.77655522e-05,1.96664760e+03,-3.12417316e+03
3.00000000e-10,5.44709854e-06,1.73754890e-05,3.23458502e+03,-4.67235345e+03
4.00000000e-10,5.84954648e-06,1.68333083e-05,4.89931940e+03,-6.15558632e+03
5.00000000e-10,6.44783734e-06,1.61504475e-05,7.19754268e+03,-7.45549578e+03
6.00000000e-10,7.32167647e-06,1.53568876e-05,1.04824524e+04,-8.30678135e+03
7.00000000e-10,8.59598155e-06,1.45216123e-05,1.53406233e+04,-8.16850834e+03
8.00000000e-10,1.04856796e-05,1.37847090e-05,2.31478764e+04,-6.21573370e+03
9.00000000e-10,1.34168902e-05,1.33209732e-05,3.65556892e+04,-3.09994229e+03
1.00000000e-09,1.80002869e-05,1.31647652e-05,5.64065586e+04,4.66105559e+02
1.10000000e-09,2.52918194e-05,1.34899209e-05,9.25503091e+04,4.65714756e+03
1.20000000e-09,3.63017335e-05,1.38199148e-05,1.23327388e+05,2.36989605e+03
1.30000000e-09,5.02687774e-05,1.41618837e-05,1.58284021e+05,3.28451470e+03
1.40000000e-09,6.74648956e-05,1.44849703e-05,1.89306247e+05,3.53124172e+03
1.50000000e-09,8.78790358e-05,1.48161520e-05,2.21150048e+05,3.39891659e+03
1.60000000e-09,1.11495843e-04,1.51485281e-05,2.52997017e+05,3.37797886e+03
1.70000000e-09,1.38283795e-04,1.54839447e-05,2.82878238e+05,3.39598383e+03
1.80000000e-09,1.68257961e-04,1.58124157e-05,3.16726891e+05,3.20342346e+03
1.90000000e-09,2.01442009e-04,1.61490428e-05,3.47034098e+05,3.12540797e+03
2.00000000e-09,2.37836440e-04,1.64800599e-05,3.79129380e+05,3.53138023e+03
2.10000000e-09,2.77427911e-04,1.68095939e-05,4.11293759e+05,3.60373377e+03
2.20000000e-09,3.20112395e-04,1.71698321e-05,4.36749017e+05,4.81608114e+03
