time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.92296236e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.00914771e-06,1.91483935e-05,1.88933760e+02,-1.62685038e+03
2.00000000e-10,5.04021837e-06,1.89033518e-05,4.51925727e+02,-3.27870127e+03
3.00000000e-10,5.10545344e-06,1.84927178e-05,8.91779456e+02,-4.93258446e+03
4.00000000e-10,5.22845427e-06,1.79168807e-05,1.62934338e+03,-6.58454830e+03
5.00000000e-10,5.44560526e-06,1.71792080e-05,2.79958873e+03,-8.14021257e+03
6.00000000e-10,5.80840698e-06,1.62970137e-05,4.56028666e+03,-9.43382611e+03
7.00000000e-10,6.38186762e-06,1.53107974e-05,7.04285944e+03,-1.01679841e+04
8.00000000e-10,7.24742636e-06,1.42966418e-05,1.04190978e+04,-9.89476750e+03
9.00000000e-10,8.50696230e-06,1.33929913e-05,1.50236783e+04,-7.76423529e+03
1.00000000e-09,1.03505024e-05,1.28623607e-05,2.27957330e+04,-2.12179795e+03
1.10000000e-09,1.33445123e-05,1.29594388e-05,3.83619984e+04,3.37020509e+03
1.20000000e-09,1.82314233e-05,1.34716394e-05,6.09988837e+04,7.38632337e+03
1.30000000e-09,2.63019306e-05,1.44439541e-05,1.03475193e+05,1.04953875e+04
1.40000000e-09,3.84258144e-05,1.54571901e-05,1.34457510e+05,1.00517269e+04
1.50000000e-09,5.30202913e-05,1.64616682e-05,1.57426100e+05,9.96309478e+03
1.60000000e-09,7.05975043e-05,1.73170385e-05,1.95579418e+05,1.00607642e+04
1.70000000e-09,9.12887684e-05,1.83476896e-05,2.18021207e+05,9.87717767e+03
1.80000000e-09,1.15083165e-04,1.92095285e-05,2.52933055e+05,9.92971189e+03
