time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.94153239e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.00493312e-06,1.93350571e-05,1.04606772e+02,-1.60713444e+03
2.00000000e-10,5.02331147e-06,1.90931481e-05,2.81015935e+02,-3.23694670e+03
3.00000000e-10,5.06626321e-06,1.86865398e-05,6.14467056e+02,-4.89390308e+03
4.00000000e-10,5.15551865e-06,1.81149655e-05,1.22767073e+03,-6.53566881e+03
5.00000000e-10,5.32537851e-06,1.73811608e-05,2.24746672e+03,-8.11215582e+03
6.00000000e-10,5.62373745e-06,1.64998268e-05,3.81995759e+03,-9.45681017e+03
7.00000000e-10,6.11120094e-06,1.55065170e-05,6.04357448e+03,-1.02993521e+04
8.00000000e-10,6.85909636e-06,1.44690972e-05,9.05082470e+03,-1.02600311e+04
9.00000000e-10,7.95132378e-06,1.35052760e-05,1.29762101e+04,-8.67981003e+03
1.00000000e-09,9.51030710e-06,1.28287205e-05,1.87315933e+04,-4.17349439e+03
1.10000000e-09,1.19170799e-05,1.27918804e-05,3.09476984e+04,3.04440545e+03
1.20000000e-09,1.59363551e-05,1.32950730e-05,5.03830228e+04,6.71546352e+03
1.30000000e-09,2.24273933e-05,1.42074711e-05,8.37934618e+04,1.12343956e+04
1.40000000e-09,3.30513887e-05,1.53377979e-05,1.24654048e+05,1.13555273e+04
1.50000000e-09,4.66821129e-05,1.64800336e-05,1.47820709e+05,1.14317084e+04
1.60000000e-09,6.27556274e-05,1.75105002e-05,1.79250872e+05,7.92267013e+03
1.70000000e-09,8.24150058e-05,1.85772683e-05,2.08886936e+05,1.16489524e+04
1.80000000e-09,1.04754132e-04,1.96052447e-05,2.44364533e+05,1.04169862e+04
