time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.96898303e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,4.99870719e-06,1.96109813e-05,-1.98762616e+01,-1.57823675e+03
2.00000000e-10,4.99841605e-06,1.93736682e-05,3.19917831e+01,-3.17200025e+03
3.00000000e-10,5.00989602e-06,1.89754502e-05,2.27641465e+02,-4.80001773e+03
4.00000000e-10,5.05209151e-06,1.84137199e-05,6.68000707e+02,-6.42777730e+03
5.00000000e-10,5.15579426e-06,1.76911991e-05,1.47681835e+03,-8.00776195e+03
6.00000000e-10,5.36368131e-06,1.68187274e-05,2.77582802e+03,-9.39994971e+03
7.00000000e-10,5.73022631e-06,1.58250349e-05,4.66200549e+03,-1.03835514e+04
8.00000000e-10,6.31609496e-06,1.47663686e-05,7.17018912e+03,-1.06373144e+04
9.00000000e-10,7.18653940e-06,1.37366230e-05,1.03506970e+04,-9.71020368e+03
1.00000000e-09,8.41274112e-06,1.28904396e-05,1.43671685e+04,-6.76356558e+03
1.10000000e-09,1.01371322e-05,1.25167642e-05,2.10451560e+04,2.66401064e+02
1.20000000e-09,1.29206071e-05,1.29267331e-05,3.59612903e+04,6.92485135e+03
1.30000000e-09,1.75301333e-05,1.37805110e-05,5.76086608e+04,1.02307535e+04
1.40000000e-09,2.51081731e-05,1.49708464e-05,9.77162358e+04,1.25860447e+04
1.50000000e-09,3.68258825e-05,1.62828273e-05,1.31448571e+05,1.37028444e+04
1.60000000e-09,5.11176382e-05,1.76520031e-05,1.54344542e+05,1.37204341e+04
1.70000000e-09,6.82052467e-05,1.87468874e-05,1.93425207e+05,1.17244562e+04
